sent_ind,cve_sent_ind,token,pos,tag,dep,label,pred_y
CVE-2000-0338,0,is,VERB,VBZ,auxpass,O,O
CVE-2000-0338,0,created,VERB,VBN,advcl,O,O
CVE-2000-0338,0,for,ADP,IN,prep,O,O
CVE-2000-0338,0,use,NOUN,NN,pobj,O,O
CVE-2000-0338,0,by,ADP,IN,prep,O,O
CVE-2000-0338,0,a,DET,DT,det,O,O
CVE-2000-0338,0,legitimate,ADJ,JJ,amod,O,O
CVE-2000-0338,0,CVS,NOUN,NN,compound,O,O
CVE-2000-0338,0,user,NOUN,NN,pobj,O,O
CVE-2000-0338,0,.,PUNCT,.,punct,O,O
CVE-2001-0435,0,The,DET,DT,det,O,O
CVE-2001-0435,0,split,ADJ,JJ,amod,O,O
CVE-2001-0435,0,key,ADJ,JJ,amod,O,O
CVE-2001-0435,0,mechanism,NOUN,NN,nsubj,O,O
CVE-2001-0435,0,used,VERB,VBN,acl,O,O
CVE-2001-0435,0,by,ADP,IN,agent,O,O
CVE-2001-0435,0,PGP,PROPN,NNP,pobj,pn,O
CVE-2001-0435,0,7,NUM,CD,nummod,version,O
CVE-2001-0435,0,allows,VERB,VBZ,ROOT,O,O
CVE-2001-0435,0,a,DET,DT,det,O,O
CVE-2001-0435,0,key,ADJ,JJ,amod,O,O
CVE-2001-0435,0,share,NOUN,NN,compound,O,O
CVE-2001-0435,0,holder,NOUN,NN,nsubj,O,O
CVE-2001-0435,0,to,PART,TO,aux,O,O
CVE-2001-0435,0,obtain,VERB,VB,ccomp,O,O
CVE-2001-0435,0,access,NOUN,NN,dobj,O,O
CVE-2001-0435,0,to,ADP,IN,prep,O,O
CVE-2001-0435,0,the,DET,DT,det,O,O
CVE-2001-0435,0,entire,ADJ,JJ,amod,O,O
CVE-2001-0435,0,key,NOUN,NN,pobj,O,O
CVE-2001-0435,0,by,ADP,IN,prep,O,O
CVE-2001-0435,0,setting,VERB,VBG,pcomp,O,O
CVE-2001-0435,0,the,DET,DT,det,O,O
CVE-2001-0435,0,"""",PUNCT,``,punct,O,O
CVE-2001-0435,0,Cache,PROPN,NNP,compound,O,O
CVE-2001-0435,0,passphrase,NOUN,NN,dobj,O,O
CVE-2001-0435,0,while,ADP,IN,mark,O,O
CVE-2001-0435,0,logged,VERB,VBN,advcl,O,O
CVE-2001-0435,0,on,ADP,IN,prep,O,O
CVE-2001-0435,0,"""",PUNCT,``,punct,O,O
CVE-2001-0435,0,option,NOUN,NN,pobj,O,O
CVE-2001-0435,0,and,CCONJ,CC,cc,O,O
CVE-2001-0435,0,capturing,VERB,VBG,conj,O,O
CVE-2001-0435,0,the,DET,DT,det,O,O
CVE-2001-0435,0,passphrases,NOUN,NNS,dobj,O,O
CVE-2001-0435,0,of,ADP,IN,prep,O,O
CVE-2001-0435,0,other,ADJ,JJ,amod,O,O
CVE-2001-0435,0,share,NOUN,NN,compound,O,O
CVE-2001-0435,0,holders,NOUN,NNS,pobj,O,O
CVE-2001-0435,0,as,ADP,IN,mark,O,O
CVE-2001-0435,0,they,PRON,PRP,nsubj,O,O
CVE-2001-0435,0,authenticate,VERB,VBP,advcl,O,O
CVE-2001-0435,0,.,PUNCT,.,punct,O,O
CVE-2003-0126,0,The,DET,DT,det,O,O
CVE-2003-0126,0,web,NOUN,NN,compound,O,O
CVE-2003-0126,0,interface,NOUN,NN,nsubj,O,O
CVE-2003-0126,0,for,ADP,IN,prep,O,O
CVE-2003-0126,0,SOHO,PROPN,NNP,compound,O,O
CVE-2003-0126,0,Routefinder,PROPN,NNP,pobj,pn,pn
CVE-2003-0126,0,550,NUM,CD,nummod,pn,pn
CVE-2003-0126,0,firmware,NOUN,NN,appos,O,O
CVE-2003-0126,0,4.63,NUM,CD,nummod,vre,vre
CVE-2003-0126,0,and,CCONJ,CC,cc,=,=
CVE-2003-0126,0,earlier,ADV,RBR,conj,<,<
CVE-2003-0126,0,",",PUNCT,",",punct,sp,O
CVE-2003-0126,0,and,CCONJ,CC,cc,sp,O
CVE-2003-0126,0,possibly,ADV,RB,advmod,O,O
CVE-2003-0126,0,later,ADV,RB,amod,>,O
CVE-2003-0126,0,versions,NOUN,NNS,conj,O,O
CVE-2003-0126,0,",",PUNCT,",",punct,O,O
CVE-2003-0126,0,has,VERB,VBZ,ROOT,O,O
CVE-2003-0126,0,a,DET,DT,det,O,O
CVE-2003-0126,0,default,NOUN,NN,nmod,O,O
CVE-2003-0126,0,"""",PUNCT,``,punct,O,O
CVE-2003-0126,0,admin,NOUN,NN,nmod,O,O
CVE-2003-0126,0,"""",PUNCT,'',punct,O,O
CVE-2003-0126,0,account,VERB,VBP,dobj,O,O
CVE-2003-0126,0,with,ADP,IN,prep,O,O
CVE-2003-0126,0,a,DET,DT,det,O,O
CVE-2003-0126,0,blank,ADJ,JJ,amod,O,O
CVE-2003-0126,0,password,NOUN,NN,pobj,O,O
CVE-2003-0126,0,",",PUNCT,",",punct,O,O
CVE-2003-0126,0,which,DET,WDT,nsubj,O,O
CVE-2003-0126,0,could,VERB,MD,aux,O,O
CVE-2003-0126,0,allow,VERB,VB,relcl,O,O
CVE-2003-0126,0,attackers,NOUN,NNS,dobj,O,O
CVE-2003-0126,0,on,ADP,IN,prep,O,O
CVE-2003-0126,0,the,DET,DT,det,O,O
CVE-2003-0126,0,LAN,PROPN,NNP,compound,O,O
CVE-2003-0126,0,side,NOUN,NN,pobj,O,O
CVE-2003-0126,0,to,PART,TO,aux,O,O
CVE-2003-0126,0,conduct,VERB,VB,advcl,O,O
CVE-2003-0126,0,unauthorized,ADJ,JJ,amod,O,O
CVE-2003-0126,0,activities,NOUN,NNS,dobj,O,O
CVE-2003-0126,0,.,PUNCT,.,punct,O,O
CVE-2003-0398,0,Vignette,PROPN,NNP,compound,O,pn
CVE-2003-0398,0,StoryServer,PROPN,NNP,nsubj,pn,pn
CVE-2003-0398,0,4,NUM,CD,nummod,version,version
CVE-2003-0398,0,and,CCONJ,CC,cc,sp,=
CVE-2003-0398,0,5,NUM,CD,conj,version,version
CVE-2003-0398,0,",",PUNCT,",",punct,sp,sp
CVE-2003-0398,0,and,CCONJ,CC,cc,sp,sp
CVE-2003-0398,0,Vignette,PROPN,NNP,compound,pn,pn
CVE-2003-0398,0,V/5,PROPN,NNP,conj,version,O
CVE-2003-0398,0,and,CCONJ,CC,cc,sp,O
CVE-2003-0398,0,V/6,PROPN,NNP,conj,version,O
CVE-2003-0398,0,",",PUNCT,",",punct,O,O
CVE-2003-0398,0,with,ADP,IN,prep,O,O
CVE-2003-0398,0,the,DET,DT,det,O,O
CVE-2003-0398,0,SSI,PROPN,NNP,compound,O,O
CVE-2003-0398,0,EXEC,NOUN,NN,compound,O,O
CVE-2003-0398,0,feature,NOUN,NN,pobj,O,O
CVE-2003-0398,0,enabled,VERB,VBD,acl,O,O
CVE-2003-0398,0,",",PUNCT,",",punct,O,O
CVE-2003-0398,0,allows,VERB,VBZ,ROOT,O,O
CVE-2003-0398,0,remote,ADJ,JJ,amod,O,O
CVE-2003-0398,0,attackers,NOUN,NNS,nsubj,O,O
CVE-2003-0398,0,to,PART,TO,aux,O,O
CVE-2003-0398,0,execute,VERB,VB,ccomp,O,O
CVE-2003-0398,0,arbitrary,ADJ,JJ,amod,O,O
CVE-2003-0398,0,code,NOUN,NN,dobj,O,O
CVE-2003-0398,0,via,ADP,IN,prep,O,O
CVE-2003-0398,0,a,DET,DT,det,O,O
CVE-2003-0398,0,text,NOUN,NN,compound,O,O
CVE-2003-0398,0,variable,NOUN,NN,pobj,O,O
CVE-2003-0398,0,to,ADP,IN,prep,O,O
CVE-2003-0398,0,a,DET,DT,det,O,O
CVE-2003-0398,0,Vignette,PROPN,NNP,compound,O,O
CVE-2003-0398,0,Application,PROPN,NNP,pobj,O,O
CVE-2003-0398,0,that,DET,WDT,nsubjpass,O,O
CVE-2003-0398,0,is,VERB,VBZ,auxpass,O,O
CVE-2003-0398,0,later,ADV,RB,advmod,O,O
CVE-2003-0398,0,displayed,VERB,VBN,relcl,O,O
CVE-2003-0398,0,.,PUNCT,.,punct,O,O
CVE-2004-0964,0,Buffer,NOUN,NN,nsubj,O,O
CVE-2004-0964,0,overflow,NOUN,NN,ROOT,O,O
CVE-2004-0964,0,in,ADP,IN,prep,O,O
CVE-2004-0964,0,Zinf,PROPN,NNP,pobj,pn,pn
CVE-2004-0964,0,2.2.1,NUM,CD,nummod,version,vrs
CVE-2004-0964,0,on,ADP,IN,prep,O,O
CVE-2004-0964,0,Windows,PROPN,NNP,pobj,O,O
CVE-2004-0964,0,",",PUNCT,",",punct,O,O
CVE-2004-0964,0,and,CCONJ,CC,cc,O,O
CVE-2004-0964,0,other,ADJ,JJ,amod,O,O
CVE-2004-0964,0,older,ADJ,JJR,amod,O,O
CVE-2004-0964,0,versions,NOUN,NNS,nsubj,O,O
CVE-2004-0964,0,for,ADP,IN,prep,O,O
CVE-2004-0964,0,Linux,PROPN,NNP,pobj,O,pn
CVE-2004-0964,0,",",PUNCT,",",punct,O,O
CVE-2004-0964,0,allows,VERB,VBZ,conj,O,O
CVE-2004-0964,0,remote,ADJ,JJ,amod,O,O
CVE-2004-0964,0,attackers,NOUN,NNS,nsubj,O,O
CVE-2004-0964,0,or,CCONJ,CC,cc,O,O
CVE-2004-0964,0,local,ADJ,JJ,amod,O,O
CVE-2004-0964,0,users,NOUN,NNS,conj,O,O
CVE-2004-0964,0,to,PART,TO,aux,O,O
CVE-2004-0964,0,execute,VERB,VB,ccomp,O,O
CVE-2004-0964,0,arbitrary,ADJ,JJ,amod,O,O
CVE-2004-0964,0,code,NOUN,NN,dobj,O,O
CVE-2004-0964,0,via,ADP,IN,prep,O,O
CVE-2004-0964,0,certain,ADJ,JJ,amod,O,O
CVE-2004-0964,0,values,NOUN,NNS,pobj,O,O
CVE-2004-0964,0,in,ADP,IN,prep,O,O
CVE-2004-0964,0,a,DET,DT,det,O,O
CVE-2004-0964,0,.pls,PUNCT,NFP,punct,O,O
CVE-2004-0964,0,file,NOUN,NN,pobj,O,O
CVE-2004-0964,0,.,PUNCT,.,punct,O,O
CVE-2004-1553,0,SQL,NOUN,NN,compound,O,O
CVE-2004-1553,0,injection,NOUN,NN,compound,O,O
CVE-2004-1553,0,vulnerability,NOUN,NN,nsubj,O,O
CVE-2004-1553,0,in,ADP,IN,prep,O,O
CVE-2004-1553,0,aspWebAlbum,PROPN,NNP,pobj,pn,pn
CVE-2004-1553,0,allows,VERB,VBZ,ROOT,O,O
CVE-2004-1553,0,remote,ADJ,JJ,amod,O,O
CVE-2004-1553,0,attackers,NOUN,NNS,nsubj,O,O
CVE-2004-1553,0,to,PART,TO,aux,O,O
CVE-2004-1553,0,execute,VERB,VB,ccomp,O,O
CVE-2004-1553,0,arbitrary,ADJ,JJ,amod,O,O
CVE-2004-1553,0,SQL,NOUN,NN,compound,O,O
CVE-2004-1553,0,statements,NOUN,NNS,dobj,O,O
CVE-2004-1553,0,via,ADP,IN,prep,O,O
CVE-2004-1553,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1553,0,1,PUNCT,LS,meta,O,O
CVE-2004-1553,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1553,0,the,DET,DT,det,O,O
CVE-2004-1553,0,username,ADJ,JJ,compound,O,O
CVE-2004-1553,0,field,NOUN,NN,pobj,O,O
CVE-2004-1553,0,on,ADP,IN,prep,O,O
CVE-2004-1553,0,the,DET,DT,det,O,O
CVE-2004-1553,0,login,NOUN,NN,compound,O,O
CVE-2004-1553,0,page,NOUN,NN,pobj,O,O
CVE-2004-1553,0,or,CCONJ,CC,cc,O,O
CVE-2004-1553,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1553,0,2,PUNCT,LS,meta,O,O
CVE-2004-1553,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1553,0,the,DET,DT,det,O,O
CVE-2004-1553,0,cat,NOUN,NN,compound,O,O
CVE-2004-1553,0,parameter,NOUN,NN,conj,O,O
CVE-2004-1553,0,to,ADP,IN,prep,O,O
CVE-2004-1553,0,album.asp,X,ADD,pobj,O,O
CVE-2004-1553,0,.,PUNCT,.,punct,O,O
CVE-2004-1553,1,NOTE,NOUN,NN,ROOT,O,O
CVE-2004-1553,2,:,PUNCT,:,punct,O,O
CVE-2004-1553,2,it,PRON,PRP,nsubjpass,O,O
CVE-2004-1553,2,was,VERB,VBD,auxpass,O,O
CVE-2004-1553,2,later,ADV,RB,advmod,O,O
CVE-2004-1553,2,reported,VERB,VBN,ROOT,O,O
CVE-2004-1553,2,that,ADP,IN,mark,O,O
CVE-2004-1553,2,vector,NOUN,NN,nsubj,O,O
CVE-2004-1553,2,1,NUM,CD,nummod,O,O
CVE-2004-1553,2,affects,VERB,VBZ,ccomp,O,O
CVE-2004-1553,2,aspWebAlbum,PROPN,NNP,dobj,pn,pn
CVE-2004-1553,2,3.2,NUM,CD,nummod,version,O
CVE-2004-1553,2,",",PUNCT,",",punct,O,O
CVE-2004-1553,2,and,CCONJ,CC,cc,O,O
CVE-2004-1553,2,the,DET,DT,det,O,O
CVE-2004-1553,2,vector,NOUN,NN,nsubj,O,O
CVE-2004-1553,2,involves,VERB,VBZ,conj,O,O
CVE-2004-1553,2,the,DET,DT,det,O,O
CVE-2004-1553,2,txtUserName,NOUN,NN,compound,O,O
CVE-2004-1553,2,parameter,NOUN,NN,dobj,O,O
CVE-2004-1553,2,in,ADP,IN,prep,O,O
CVE-2004-1553,2,a,DET,DT,det,O,O
CVE-2004-1553,2,processlogin,ADJ,JJ,compound,O,O
CVE-2004-1553,2,action,NOUN,NN,pobj,O,O
CVE-2004-1553,2,to,ADP,IN,prep,O,O
CVE-2004-1553,2,album.asp,X,ADD,pobj,O,O
CVE-2004-1553,2,",",PUNCT,",",punct,O,O
CVE-2004-1553,2,as,ADV,RB,prep,O,O
CVE-2004-1553,2,reachable,ADJ,JJ,amod,O,O
CVE-2004-1553,2,from,ADP,IN,prep,O,O
CVE-2004-1553,2,the,DET,DT,det,O,O
CVE-2004-1553,2,login,NOUN,NN,compound,O,O
CVE-2004-1553,2,action,NOUN,NN,pobj,O,O
CVE-2004-1553,2,.,PUNCT,.,punct,O,O
CVE-2004-1625,0,pGina,PROPN,NNP,nmod,pn,pn
CVE-2004-1625,0,1.7.6,PROPN,NNP,nummod,vrs,vre
CVE-2004-1625,0,and,CCONJ,CC,cc,=,=
CVE-2004-1625,0,possibly,ADV,RB,advmod,O,O
CVE-2004-1625,0,older,ADJ,JJR,amod,>,O
CVE-2004-1625,0,versions,NOUN,NNS,nsubj,O,O
CVE-2004-1625,0,",",PUNCT,",",punct,O,O
CVE-2004-1625,0,when,ADV,WRB,advmod,O,O
CVE-2004-1625,0,the,DET,DT,det,O,O
CVE-2004-1625,0,Restart,PROPN,NNP,nmod,O,O
CVE-2004-1625,0,or,CCONJ,CC,cc,O,O
CVE-2004-1625,0,Shutdown,PROPN,NNP,conj,O,O
CVE-2004-1625,0,options,NOUN,NNS,nsubjpass,O,O
CVE-2004-1625,0,are,VERB,VBP,auxpass,O,O
CVE-2004-1625,0,enabled,VERB,VBN,relcl,O,O
CVE-2004-1625,0,on,ADP,IN,prep,O,O
CVE-2004-1625,0,the,DET,DT,det,O,O
CVE-2004-1625,0,login,NOUN,NN,compound,O,O
CVE-2004-1625,0,screen,NOUN,NN,pobj,O,O
CVE-2004-1625,0,",",PUNCT,",",punct,O,O
CVE-2004-1625,0,allows,VERB,VBZ,ROOT,O,O
CVE-2004-1625,0,remote,ADJ,JJ,amod,O,O
CVE-2004-1625,0,attackers,NOUN,NNS,nsubj,O,O
CVE-2004-1625,0,to,PART,TO,aux,O,O
CVE-2004-1625,0,cause,VERB,VB,ccomp,O,O
CVE-2004-1625,0,a,DET,DT,det,O,O
CVE-2004-1625,0,denial,NOUN,NN,dobj,O,O
CVE-2004-1625,0,of,ADP,IN,prep,O,O
CVE-2004-1625,0,service,NOUN,NN,pobj,O,O
CVE-2004-1625,0,by,ADP,IN,prep,O,O
CVE-2004-1625,0,connecting,VERB,VBG,pcomp,O,O
CVE-2004-1625,0,via,ADP,IN,prep,O,O
CVE-2004-1625,0,Remote,PROPN,NNP,compound,O,O
CVE-2004-1625,0,Desktop,PROPN,NNP,pobj,O,O
CVE-2004-1625,0,and,CCONJ,CC,cc,O,O
CVE-2004-1625,0,clicking,VERB,VBG,conj,O,O
CVE-2004-1625,0,restart,NOUN,NN,dobj,O,O
CVE-2004-1625,0,or,CCONJ,CC,cc,O,O
CVE-2004-1625,0,shutdown,NOUN,NN,conj,O,O
CVE-2004-1625,0,.,PUNCT,.,punct,O,O
CVE-2004-1719,0,Multiple,ADJ,JJ,amod,O,O
CVE-2004-1719,0,cross,ADJ,JJ,subtok,O,O
CVE-2004-1719,0,-,ADJ,JJ,subtok,O,O
CVE-2004-1719,0,site,NOUN,NN,amod,O,O
CVE-2004-1719,0,scripting,NOUN,NN,nsubj,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,XSS,PROPN,NNP,appos,O,O
CVE-2004-1719,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,0,vulnerabilities,NOUN,NNS,nsubj,O,O
CVE-2004-1719,0,in,ADP,IN,prep,O,O
CVE-2004-1719,0,Merak,PROPN,NNP,compound,O,O
CVE-2004-1719,0,Webmail,PROPN,NNP,compound,pn,O
CVE-2004-1719,0,Server,PROPN,NNP,compound,pn,pn
CVE-2004-1719,0,5.2.7,PROPN,NNP,pobj,version,version
CVE-2004-1719,0,allow,VERB,VB,ROOT,O,O
CVE-2004-1719,0,remote,ADJ,JJ,amod,O,O
CVE-2004-1719,0,attackers,NOUN,NNS,nsubj,O,O
CVE-2004-1719,0,to,PART,TO,aux,O,O
CVE-2004-1719,0,inject,VERB,VB,ccomp,O,O
CVE-2004-1719,0,arbitrary,ADJ,JJ,amod,O,O
CVE-2004-1719,0,web,NOUN,NN,compound,O,O
CVE-2004-1719,0,script,NOUN,NN,dobj,O,O
CVE-2004-1719,0,or,CCONJ,CC,cc,O,O
CVE-2004-1719,0,HTML,NOUN,NN,conj,O,O
CVE-2004-1719,0,via,ADP,IN,prep,O,O
CVE-2004-1719,0,the,DET,DT,det,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,1,NUM,CD,nummod,O,O
CVE-2004-1719,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,0,category,NOUN,NN,nmod,O,O
CVE-2004-1719,0,",",PUNCT,",",punct,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,2,NUM,CD,meta,O,O
CVE-2004-1719,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,0,cserver,NOUN,NN,conj,O,O
CVE-2004-1719,0,",",PUNCT,",",punct,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,3,NUM,CD,meta,O,O
CVE-2004-1719,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,0,ext,NOUN,NN,conj,O,O
CVE-2004-1719,0,",",PUNCT,",",punct,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,4,NUM,CD,meta,O,O
CVE-2004-1719,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,0,global,ADJ,JJ,conj,O,O
CVE-2004-1719,0,",",PUNCT,",",punct,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,5,PUNCT,LS,appos,O,O
CVE-2004-1719,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,0,showgroups,NOUN,NNS,pobj,O,O
CVE-2004-1719,0,",",PUNCT,",",punct,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,6,NUM,CD,appos,O,O
CVE-2004-1719,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,0,or,CCONJ,CC,cc,O,O
CVE-2004-1719,0,showlite,ADJ,JJ,compound,O,O
CVE-2004-1719,0,parameters,NOUN,NNS,conj,O,O
CVE-2004-1719,0,to,ADP,IN,aux,O,O
CVE-2004-1719,0,address.html,NOUN,NN,relcl,O,O
CVE-2004-1719,0,",",PUNCT,",",punct,O,O
CVE-2004-1719,0,or,CCONJ,CC,cc,O,O
CVE-2004-1719,0,the,DET,DT,det,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,7,NUM,CD,nummod,O,O
CVE-2004-1719,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,0,spage,NOUN,NN,nmod,O,O
CVE-2004-1719,0,or,CCONJ,CC,cc,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,8),NUM,CD,nsubj,O,O
CVE-2004-1719,0,autoresponder,NOUN,NN,conj,O,O
CVE-2004-1719,0,parameters,NOUN,NNS,dobj,O,O
CVE-2004-1719,0,to,ADP,IN,aux,O,O
CVE-2004-1719,0,settings.html,NOUN,NN,advcl,O,O
CVE-2004-1719,0,",",PUNCT,",",punct,O,O
CVE-2004-1719,0,the,DET,DT,det,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,9,NUM,CD,punct,O,O
CVE-2004-1719,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,0,folder,NOUN,NN,compound,O,O
CVE-2004-1719,0,parameter,NOUN,NN,conj,O,O
CVE-2004-1719,0,to,PART,TO,aux,O,O
CVE-2004-1719,0,readmail.html,VERB,VB,relcl,O,O
CVE-2004-1719,0,",",PUNCT,",",punct,O,O
CVE-2004-1719,0,or,CCONJ,CC,cc,O,O
CVE-2004-1719,0,the,DET,DT,det,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,10,NUM,CD,meta,O,O
CVE-2004-1719,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,0,attachmentpage_text_error,PROPN,NNP,compound,O,O
CVE-2004-1719,0,parameter,NOUN,NN,conj,O,O
CVE-2004-1719,0,to,ADP,IN,aux,O,O
CVE-2004-1719,0,attachment.html,NOUN,NN,relcl,O,O
CVE-2004-1719,0,",",PUNCT,",",punct,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,11,NUM,CD,nummod,O,O
CVE-2004-1719,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,0,folder,NOUN,NN,dobj,O,O
CVE-2004-1719,0,",",PUNCT,",",punct,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,12,NUM,CD,nummod,O,O
CVE-2004-1719,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,0,ct,NOUN,NN,conj,O,O
CVE-2004-1719,0,",",PUNCT,",",punct,O,O
CVE-2004-1719,0,or,CCONJ,CC,cc,O,O
CVE-2004-1719,0,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,0,13,NUM,CD,conj,O,O
CVE-2004-1719,0,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,1,cv,NOUN,NN,compound,O,O
CVE-2004-1719,1,parameters,NOUN,NNS,dep,O,O
CVE-2004-1719,1,to,ADP,IN,aux,O,O
CVE-2004-1719,1,calendar.html,NOUN,NN,relcl,O,O
CVE-2004-1719,1,",",PUNCT,",",punct,O,O
CVE-2004-1719,1,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,1,14,NUM,CD,ROOT,O,O
CVE-2004-1719,1,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,1,an,DET,DT,det,O,O
CVE-2004-1719,1,<,X,XX,nmod,O,O
CVE-2004-1719,1,img,NOUN,NN,nmod,O,O
CVE-2004-1719,1,>,NOUN,NN,punct,O,O
CVE-2004-1719,1,tag,NOUN,NN,conj,O,O
CVE-2004-1719,1,",",PUNCT,",",punct,O,O
CVE-2004-1719,1,or,CCONJ,CC,cc,O,O
CVE-2004-1719,1,(,PUNCT,-LRB-,punct,O,O
CVE-2004-1719,1,15,NUM,CD,meta,O,O
CVE-2004-1719,1,),PUNCT,-RRB-,punct,O,O
CVE-2004-1719,1,the,DET,DT,det,O,O
CVE-2004-1719,1,subject,NOUN,NN,conj,O,O
CVE-2004-1719,1,of,ADP,IN,prep,O,O
CVE-2004-1719,1,an,DET,DT,det,O,O
CVE-2004-1719,1,e,NOUN,NN,compound,O,O
CVE-2004-1719,1,-,PUNCT,HYPH,punct,O,O
CVE-2004-1719,1,mail,NOUN,NN,compound,O,O
CVE-2004-1719,1,message,NOUN,NN,pobj,O,O
